代码,名称,总市值_亿
601208,东材科技,505.09
601211,国泰海通,2075.82
601212,白银有色,464.28
601216,君正集团,432.03
601222,林洋能源,134.72
601225,陕西煤业,2495.49
601228,广州港,232.37
601229,上海银行,1283.07
601231,环旭电子,1070.8
601233,桐昆股份,453.09
601236,红塔证券,323.57
601238,广汽集团,448.19
601288,农业银行,20176.23
601298,青岛港,492.3
601311,骆驼股份,101.83
601318,中国平安,5703.13
601319,中国人保,2428.05
601326,秦港股份,157.95
601328,交通银行,1736.42
601333,广深铁路,174.65
601336,新华保险,1245.01
601339,百隆东方,111.57
601360,三六零,706.96
601369,陕鼓动力,163.8
601375,中原证券,139.28
601377,兴业证券,496.57
601390,中国中铁,976.84
601398,工商银行,19466
601399,国机重装,277
601456,国联民生,380.36
601512,中新集团,130.4
601519,大智慧,199.71
601555,东吴证券,389.55
601567,三星电气,229.75
601568,北元化工,150.15
601577,长沙银行,381.96
601598,中国外运,313.06
601600,中国铝业,1504.4
601601,中国太保,2202.73
601606,长城军工,248.48
601607,上海医药,459.66
601608,中信重工,254.62
601609,金田股份,213.49
601611,中国核建,362.56
601615,明阳智能,373.83
601618,中国中冶,505.23
601619,嘉泽新能,134.39
601628,中国人寿,7044.6
601633,长城汽车,1048.74
601636,旗滨集团,197.93
601658,邮储银行,3611.88
601665,齐鲁银行,374.15
601666,平煤股份,194.09
601668,中国建筑,1995.77
601669,中国电建,698.02
601677,明泰铝业,232.37
601678,滨化股份,109.93
601688,华泰证券,1328.37
601689,拓普集团,1084.41
601696,中银证券,316.69
601698,中国卫通,1271.54
601699,潞安环能,478.63
601702,华峰铝业,205.4
601717,中创智领,280.06
601727,上海电气,1016.82
601728,中国电信,4696.6
601766,中国中车,1403.71
601777,千里科技,487.83
601778,晶科科技,221.64
601788,光大证券,557.49
601799,星宇股份,362.81
601800,中国交建,760.05
601801,皖新传媒,111.21
601808,中海油服,385.75
601811,新华文轩,102.71
601816,京沪高铁,2456.07
601818,光大银行,1438.61
601825,沪农商行,796.83
601827,三峰环境,138.44
601838,成都银行,788.35
601857,中国石油,17600.93
601858,中国科传,195.17
601865,福莱特,221.66
601866,中远海发,245.75
601868,中国能建,937.19
601869,长飞光纤,1636.77
601872,招商轮船,1280.62
601877,正泰电器,626.21
601878,浙商证券,431.77
601880,辽港股份,296.45
601881,中国银河,889.49
601882,海天精工,112.96
601886,江河集团,101.86
601888,中国中免,1163.28
601898,中煤能源,1435.03
601899,紫金矿业,6271.19
601900,南方传媒,103.98
601901,方正证券,567.19
601916,浙商银行,646.33
601918,新集能源,265.53
601919,中远海控,1775.45
601921,浙版传媒,166
601928,凤凰传媒,227.77
601933,永辉超市,335.78
601939,建设银行,955.53
601952,苏垦农发,118.92
601958,金钼股份,779.87
601963,重庆银行,244.49
601965,中国汽研,156.25
601966,玲珑轮胎,175.77
601969,海南矿业,190.54
601975,招商南油,227.46
601985,中国核电,1707.05
601988,中国银行,12350.86
601990,南京证券,246.99
601991,大唐发电,1069.78
601992,金隅集团,132.51
601995,中金公司,987.86
601997,贵阳银行,216.81
601998,中信银行,3024.61
603000,人民网,193.83
603002,宏昌电子,188.03
603005,晶方科技,267.65
603009,北特科技,163.32
603011,合锻智能,123.21
603019,中科曙光,1290.4
603025,大豪科技,171.59
603026,石大胜华,204.06
603031,安孚科技,188.95
603033,三维股份,104.39
603039,泛微网络,112.72
603040,新坐标,116.13
603050,科林电气,100.71
603052,可川科技,178.77
603057,紫燕食品,109.84
603061,金海通,256.65
603063,禾望电气,255.78
603067,振华股份,264.89
603077,和邦生物,217.26
603078,江化微,133.82
603083,剑桥科技,572.4
603087,甘李药业,291.65
603093,南华期货,134.21
603099,长白山,106.08
603103,横店影视,145.36
603112,华翔股份,108.2
603115,海星股份,258.44
603118,共进股份,100.69
603119,浙江荣泰,174.53
603124,江南新材,106.68
603127,昭衍新药,221.7
603129,春风动力,343.8
603132,金徽股份,168.61
603156,养元饮品,538.64
603160,汇顶科技,284.24
603163,圣晖集成,103.66
603169,兰石重装,102.54
603171,税友股份,194.02
603179,新泉股份,372.03
603185,弘元绿能,125.48
603186,华正新材,207.12
603195,公牛集团,748.72
603198,迎驾贡酒,295.6
603203,快克智能,168.18
603218,日月股份,121.31
603220,中贝通信,101.36
603225,新凤鸣,283.32
